iso,beta1_waid,beta2_waid,var11,var12,var22
ABW,-0.01964529014096573,0,1.0615543239426094e-7,0,0
AFG,-0.018908335286823452,-9.715568673235933e-4,5.696906229755012e-7,-1.881160994945408e-7,8.777900853935989e-8
AGO,-0.0205513644129324,-0.001489153391407344,6.411691673009168e-7,-1.3812362145139013e-7,5.624570592635663e-8
ALA,0.004720831662823366,-0.0024086447695357846,8.331952320820809e-7,-2.4367152908839085e-7,9.87181088386888e-8
ALB,-0.021809601258887017,0,2.6829395430259053e-7,0,0
AND,-0.010652878075723446,-8.501282222352705e-4,5.205161677744828e-7,-1.466573603662892e-7,5.756901309383354e-8
ARE,-0.034592136589438445,0,2.3554337417193073e-7,0,0
ARG,-0.017465330004780392,0,1.8104230934948632e-7,0,0
ARM,-0.014024947159882867,-0.0011802603855162637,6.630279214921761e-7,-1.7425096107823591e-7,5.7426674294168e-8
ASM,-0.014059024421803045,0,1.6882203775255855e-7,0,0
ATF,-0.003947577966840917,-5.619033201618596e-4,7.221392359488855e-8,-2.1160062328191864e-8,9.380120548603554e-9
ATG,-0.017063449266475284,0,4.290816292028091e-8,0,0
AUS,-0.02200502421742466,-4.8403295167968874e-4,5.484325195735394e-7,-1.4422395774118873e-7,5.624201429759479e-8
AUT,-0.010419133029586629,-0.0011415722238120145,1.4290234990849466e-6,-5.66090041648013e-7,2.9017205228411025e-7
AZE,-0.022583186180465408,0,1.2598108967214526e-7,0,0
BDI,-0.017703847917451415,-8.078729415558761e-4,1.1215213432531305e-6,-2.9331414582338185e-7,1.4221932301453923e-7
BEL,-0.009530425654738502,-9.623246831333213e-4,4.643182628591706e-7,-1.5638156022308455e-7,7.789678072287458e-8
BEN,-0.022321411573258634,0,3.484773036731753e-7,0,0
BES,-0.017153102014042115,0,5.4238620219164605e-8,0,0
BFA,-0.028301993282101593,0,8.846957358452863e-7,0,0
BGD,-0.01662976215306479,-0.0010795585977325245,3.1296182214757826e-6,-7.961832979259907e-7,2.6250349017566895e-7
BGR,-0.01949679056940614,0,3.0478894410009806e-7,0,0
BHR,-0.02903927010005187,0,3.028478520447196e-7,0,0
